Business Name,Owner Name,Phone Number,Location,Extra Info
Alpine Roofing,Jean Kolovos,416-469-1939,Toronto ON,President/Owner
Professional Roofers,Alfredo (UXDU Contracting),416-604-9765,Toronto ON,
Luso Roofing,Paulo Torres,647-866-6213,Toronto ON,Founder
Coverall Roofing,Mark Lyons,647-470-4076,Toronto ON,
Integrity Roofers,Owner,416-736-7373,Toronto ON,
Universal Roofs,Owner,+1 416-732-2421,Toronto ON,
Avenue Road Roofing,Owner,416-785-5129,Toronto ON,Est. 1974
The Roof Whisperer,Owner,647-979-5652,Toronto ON,High Rating
Flat Roofs Toronto,Owner,416-826-1334,Toronto ON,
TorontoRoofing.ca,Owner,416-824-6111,Toronto ON,
High Skillz Roofing,Owner,647-704-3529,Toronto ON,
Rule the Roof,Zair Alem,(587) 973-7371,Calgary AB,Founder
Vami Roof Repair,Kole Perkeqi,(403) 390-3076,Calgary AB,Founder
Freeze Maxwell Roofing,Pat Murphy,(403) 253-0101,Calgary AB,Owner
Calgary Elite Roofing,Greg Garcia,(403) 478-2580,Calgary AB,President
EPIC Roofing & Exteriors,Merlin Bartel,(403) 366-3770,Calgary AB,CEO
René Perron Couvreurs,René Perron,514-327-1100,Montreal QC,Founder
New View Roofing,Michael Gibson,(469) 232-7220,Dallas TX,
Bert Roofing,John Edward Bert II,(214) 321-9341,Dallas TX,President
Infinite Roofing,Jawad Mansour,(469) 300-5400,Dallas TX,Owner
Alpine Roofing Construction,Jeff Folsom,(214) 528-9897,Dallas TX,President
KPost Roofing,Keith Post,(972) 910-8777,Dallas TX,CEO
Wortham Brothers Roofing,David Wortham,214-971-8838,Dallas TX,Founder
Peak Roofing & Construction,Jeff Riss,(972) 335-7325,Dallas TX,President
Rose Roofing,Jonathan Rose,(713) 849-5155,Houston TX,CEO
Coale Roofing,Jose Alvarez,(713) 524-3187,Houston TX,Owner
Roof MD,Mark Donaldson,(832) 967-7663,Houston TX,CEO
314 Roofing Solutions,Andy Kelly,(832) 688-8363,Houston TX,Owner
Phoenix Roofing and Repair,Jeff Guthrie,602-497-0154,Phoenix AZ,Founder/CEO
Scott Roofing Company,Brian Scott,602-442-7663,Phoenix AZ,CEO
RENCO Roofing,Shannon Simonson,602-867-9386,Phoenix AZ,Owner
Express Roofing,Rene Palomino,(480) 226-4241,Phoenix AZ,Founder
R4 Roofing,Jacob Clarkson,602-727-0116,Phoenix AZ,Founder
